Transaction_ID,Part_ID,Vendor_ID,Transaction_Type,Quantity,Purchase_Order_Date,Promised_Date,Transaction_Date,Out_Reason
T04409,P041,V038,IN,28,04-10-2023,09-10-2023,07-10-2023,
T04410,P064,V027,IN,52,03-09-2023,16-09-2023,26-09-2023,
T04411,P023,V037,IN,23,03-11-2023,24-11-2023,23-11-2023,
T04412,P035,V049,OUT,20,,,17-12-2024,Replacement
T04413,P091,V055,IN,31,26-02-2024,26-03-2024,24-03-2024,
T04414,P109,V009,OUT,31,,,12-06-2025,Maintenance
T04415,P114,V018,OUT,13,,,13-12-2024,Maintenance
T04416,P071,V052,OUT,36,,,15-03-2025,Maintenance
T04417,P050,V049,IN,35,15-03-2024,13-04-2024,13-04-2024,
T04418,P027,V020,IN,76,25-07-2024,15-08-2024,17-08-2024,
T04419,P071,V014,OUT,30,,,19-03-2025,Emergency
T04420,P029,V033,OUT,47,,,07-12-2024,Repair
T04421,P037,V026,IN,98,18-04-2024,08-05-2024,07-05-2024,
T04422,P092,V015,IN,2,11-05-2024,04-06-2024,04-06-2024,
T04423,P066,V013,OUT,41,,,03-01-2025,Emergency
T04424,P070,V012,IN,17,01-03-2024,18-03-2024,17-03-2024,
T04425,P119,V003,IN,34,02-05-2024,09-05-2024,12-05-2024,
T04426,P011,V058,IN,79,09-02-2024,15-02-2024,21-02-2024,
T04427,P018,V030,OUT,0,,,08-07-2025,Replacement
T04428,P003,V005,OUT,4,,,20-01-2025,Emergency
T04429,P073,V007,OUT,14,,,30-05-2025,Repair
T04430,P100,V024,OUT,15,,,01-08-2025,Routine Check
T04431,P080,V004,IN,62,28-10-2023,24-11-2023,26-11-2023,
T04432,P097,V010,IN,36,18-07-2024,09-08-2024,10-08-2024,
T04433,P096,V010,OUT,25,,,25-11-2024,Replacement
T04434,P024,V014,OUT,11,,,20-09-2024,Replacement
T04435,P108,V032,IN,39,19-04-2024,19-05-2024,18-05-2024,
T04436,P107,V017,IN,89,02-03-2024,27-03-2024,30-03-2024,
T04437,P014,V007,OUT,34,,,15-05-2025,Routine Check
T04438,P025,V003,IN,40,12-02-2024,29-02-2024,02-03-2024,
T04439,P007,V014,OUT,30,,,24-02-2025,Maintenance
T04440,P052,V035,IN,58,20-08-2024,16-09-2024,16-09-2024,
T04441,P005,V050,IN,5,31-03-2024,24-04-2024,24-04-2024,
T04442,P103,V058,OUT,27,,,03-02-2025,Repair
T04443,P047,V037,IN,26,27-01-2024,14-02-2024,24-02-2024,
T04444,P044,V001,IN,60,12-07-2024,01-08-2024,02-08-2024,
T04445,P064,V007,IN,32,24-11-2023,03-12-2023,01-12-2023,
T04446,P103,V002,IN,60,06-07-2024,17-07-2024,19-07-2024,
T04447,P100,V049,IN,5,03-07-2024,28-07-2024,28-07-2024,
T04448,P027,V007,IN,70,25-12-2023,11-01-2024,20-01-2024,
T04449,P010,V057,OUT,42,,,27-10-2024,Emergency
T04450,P024,V010,OUT,8,,,12-10-2024,Maintenance
T04451,P112,V021,OUT,45,,,11-01-2025,Replacement
T04452,P015,V051,OUT,32,,,09-12-2024,Maintenance
T04453,P104,V036,IN,9,16-09-2023,06-10-2023,14-10-2023,
T04454,P032,V020,OUT,26,,,03-09-2024,Maintenance
T04455,P029,V053,IN,98,18-06-2024,02-07-2024,02-07-2024,
T04456,P019,V024,IN,12,21-01-2024,15-02-2024,15-02-2024,
T04457,P028,V012,OUT,38,,,24-08-2024,Replacement
T04458,P094,V010,IN,86,02-01-2024,30-01-2024,29-01-2024,
T04459,P106,V048,OUT,29,,,22-08-2024,Emergency
T04460,P079,V025,IN,3,12-05-2024,23-05-2024,30-05-2024,
T04461,P013,V021,OUT,14,,,01-08-2025,Repair
T04462,P011,V027,OUT,42,,,05-09-2024,Emergency
T04463,P072,V047,OUT,2,,,07-07-2025,Repair
T04464,P106,V023,OUT,44,,,01-05-2025,Replacement
T04465,P049,V008,OUT,2,,,29-06-2025,Repair
T04466,P074,V007,IN,86,19-07-2024,27-07-2024,25-07-2024,
T04467,P104,V011,IN,56,18-08-2024,09-09-2024,14-09-2024,
T04468,P062,V017,OUT,36,,,19-09-2024,Emergency
T04469,P028,V009,OUT,30,,,22-03-2025,Emergency
T04470,P002,V059,IN,65,17-06-2024,08-07-2024,07-07-2024,
T04471,P066,V002,OUT,48,,,08-10-2024,Repair
T04472,P085,V053,OUT,36,,,29-01-2025,Maintenance
T04473,P005,V037,IN,63,13-06-2024,27-06-2024,25-06-2024,
T04474,P056,V006,IN,39,16-11-2023,22-11-2023,20-11-2023,
T04475,P078,V026,IN,94,30-09-2023,25-10-2023,25-10-2023,
T04476,P036,V015,OUT,35,,,15-11-2024,Replacement
T04477,P058,V018,OUT,3,,,20-11-2024,Routine Check
T04478,P029,V008,IN,74,12-07-2024,02-08-2024,01-08-2024,
T04479,P019,V012,OUT,46,,,13-10-2024,Maintenance
T04480,P022,V005,IN,26,14-11-2023,12-12-2023,15-12-2023,
T04481,P116,V023,IN,43,18-12-2023,23-12-2023,27-12-2023,
T04482,P003,V004,IN,3,03-11-2023,25-11-2023,29-11-2023,
T04483,P092,V048,OUT,26,,,23-03-2025,Emergency
T04484,P015,V038,IN,79,22-06-2024,27-06-2024,25-06-2024,
T04485,P033,V008,IN,16,23-03-2024,09-04-2024,10-04-2024,
T04486,P073,V025,IN,97,23-04-2024,21-05-2024,21-05-2024,
T04487,P064,V044,IN,26,02-01-2024,21-01-2024,19-01-2024,
T04488,P092,V048,OUT,40,,,25-08-2024,Maintenance
T04489,P070,V001,OUT,47,,,03-11-2024,Replacement
T04490,P108,V035,OUT,5,,,25-09-2024,Routine Check
T04491,P034,V031,OUT,25,,,23-04-2025,Repair
T04492,P003,V004,IN,77,27-10-2023,19-11-2023,23-11-2023,
T04493,P016,V028,IN,13,19-05-2024,16-06-2024,24-06-2024,
T04494,P013,V060,IN,67,26-12-2023,02-01-2024,31-12-2023,
T04495,P034,V045,OUT,21,,,07-11-2024,Routine Check
T04496,P074,V049,IN,40,06-02-2024,15-02-2024,19-02-2024,
T04497,P109,V052,OUT,43,,,22-01-2025,Maintenance
T04498,P027,V024,IN,42,15-03-2024,13-04-2024,12-04-2024,
T04499,P058,V002,OUT,21,,,22-10-2024,Emergency
T04500,P075,V019,OUT,45,,,19-12-2024,Replacement
T04501,P057,V028,OUT,9,,,10-05-2025,Maintenance
T04502,P071,V004,IN,18,09-07-2024,22-07-2024,23-07-2024,
T04503,P099,V046,IN,70,18-10-2023,25-10-2023,25-10-2023,
T04504,P029,V042,IN,66,12-10-2023,31-10-2023,30-10-2023,
T04505,P115,V010,IN,51,21-09-2023,30-09-2023,29-09-2023,
T04506,P034,V032,IN,89,29-05-2024,13-06-2024,21-06-2024,
T04507,P117,V051,IN,46,25-07-2024,19-08-2024,26-08-2024,
T04508,P120,V011,OUT,14,,,30-07-2025,Replacement
T04509,P002,V002,OUT,19,,,21-09-2024,Maintenance
T04510,P013,V040,IN,99,17-11-2023,09-12-2023,18-12-2023,
T04511,P071,V007,OUT,7,,,24-11-2024,Emergency
T04512,P023,V041,IN,81,26-01-2024,10-02-2024,10-02-2024,
T04513,P111,V043,OUT,25,,,14-09-2024,Maintenance
T04514,P060,V004,IN,78,14-08-2024,24-08-2024,23-08-2024,
T04515,P004,V027,OUT,3,,,07-12-2024,Maintenance
T04516,P032,V036,IN,67,28-03-2024,06-04-2024,06-04-2024,
T04517,P113,V047,IN,96,15-02-2024,25-02-2024,25-02-2024,
T04518,P045,V005,OUT,6,,,26-05-2025,Repair
T04519,P116,V042,IN,34,17-12-2023,08-01-2024,08-01-2024,
T04520,P055,V048,OUT,28,,,13-08-2025,Replacement
T04521,P099,V053,IN,94,20-09-2023,19-10-2023,18-10-2023,
T04522,P040,V057,IN,84,14-04-2024,24-04-2024,02-05-2024,
T04523,P110,V015,OUT,41,,,06-12-2024,Replacement
T04524,P004,V053,OUT,7,,,13-12-2024,Routine Check
T04525,P031,V022,IN,1,02-06-2024,18-06-2024,16-06-2024,
T04526,P040,V047,IN,63,09-10-2023,18-10-2023,17-10-2023,
T04527,P063,V006,OUT,26,,,02-10-2024,Routine Check
T04528,P041,V011,IN,97,17-03-2024,25-03-2024,28-03-2024,
T04529,P024,V043,OUT,25,,,30-10-2024,Emergency
T04530,P051,V033,IN,54,25-04-2024,22-05-2024,28-05-2024,
T04531,P110,V010,OUT,8,,,15-04-2025,Replacement
T04532,P080,V060,IN,57,22-07-2024,09-08-2024,17-08-2024,
T04533,P080,V051,OUT,19,,,16-03-2025,Emergency
T04534,P011,V054,OUT,42,,,23-03-2025,Repair
T04535,P027,V041,IN,47,18-05-2024,23-05-2024,23-05-2024,
T04536,P073,V033,OUT,31,,,20-04-2025,Replacement
T04537,P031,V009,IN,41,05-12-2023,18-12-2023,23-12-2023,
T04538,P093,V020,IN,54,08-04-2024,06-05-2024,15-05-2024,
T04539,P020,V008,IN,12,21-12-2023,05-01-2024,12-01-2024,
T04540,P095,V039,OUT,48,,,10-04-2025,Replacement
T04541,P033,V023,IN,74,28-08-2023,27-09-2023,26-09-2023,
T04542,P037,V052,OUT,41,,,14-12-2024,Maintenance
T04543,P086,V007,IN,91,25-12-2023,18-01-2024,22-01-2024,
T04544,P019,V034,IN,60,13-04-2024,25-04-2024,23-04-2024,
T04545,P040,V015,OUT,14,,,04-04-2025,Replacement
T04546,P112,V033,OUT,32,,,31-01-2025,Repair
T04547,P067,V034,IN,36,05-11-2023,28-11-2023,07-12-2023,
T04548,P052,V026,IN,34,04-12-2023,02-01-2024,02-01-2024,
T04549,P024,V003,IN,12,12-07-2024,22-07-2024,28-07-2024,
T04550,P085,V013,OUT,48,,,05-06-2025,Replacement
T04551,P093,V052,IN,24,17-12-2023,29-12-2023,29-12-2023,
T04552,P040,V004,OUT,39,,,22-05-2025,Routine Check
T04553,P106,V001,OUT,15,,,29-09-2024,Emergency
T04554,P092,V007,IN,94,27-02-2024,23-03-2024,30-03-2024,
T04555,P026,V004,IN,21,22-05-2024,28-05-2024,01-06-2024,
T04556,P058,V039,IN,71,23-11-2023,16-12-2023,16-12-2023,
T04557,P104,V006,IN,36,26-12-2023,01-01-2024,05-01-2024,
T04558,P120,V059,OUT,30,,,30-11-2024,Maintenance
T04559,P097,V007,IN,89,23-09-2023,13-10-2023,23-10-2023,
T04560,P084,V049,OUT,36,,,10-06-2025,Emergency
T04561,P096,V050,IN,14,21-12-2023,15-01-2024,15-01-2024,
T04562,P092,V044,OUT,39,,,27-02-2025,Maintenance
T04563,P075,V007,OUT,41,,,19-06-2025,Replacement
T04564,P068,V053,OUT,21,,,02-03-2025,Replacement
T04565,P016,V041,IN,10,18-11-2023,29-11-2023,05-12-2023,
T04566,P068,V022,IN,22,16-09-2023,13-10-2023,12-10-2023,
T04567,P068,V036,IN,87,24-06-2024,13-07-2024,13-07-2024,
T04568,P100,V009,OUT,30,,,28-05-2025,Routine Check
T04569,P030,V046,IN,60,23-06-2024,01-07-2024,03-07-2024,
T04570,P071,V002,OUT,44,,,15-10-2024,Routine Check
T04571,P079,V050,IN,61,19-07-2024,28-07-2024,28-07-2024,
T04572,P062,V017,OUT,31,,,18-10-2024,Maintenance
T04573,P044,V032,IN,30,19-09-2023,25-09-2023,24-09-2023,
T04574,P116,V058,IN,1,10-09-2023,20-09-2023,29-09-2023,
T04575,P093,V044,IN,92,25-10-2023,16-11-2023,15-11-2023,
T04576,P065,V056,OUT,2,,,19-11-2024,Maintenance
T04577,P033,V042,IN,86,03-08-2024,17-08-2024,17-08-2024,
T04578,P051,V057,IN,24,31-05-2024,10-06-2024,12-06-2024,
T04579,P005,V038,OUT,25,,,31-07-2025,Routine Check
T04580,P046,V036,OUT,29,,,16-10-2024,Replacement
T04581,P061,V043,OUT,1,,,13-10-2024,Emergency
T04582,P088,V044,OUT,23,,,11-03-2025,Maintenance
T04583,P089,V040,OUT,8,,,28-12-2024,Repair
T04584,P096,V045,OUT,9,,,21-01-2025,Maintenance
T04585,P095,V004,OUT,7,,,13-07-2025,Emergency
T04586,P019,V053,OUT,25,,,25-01-2025,Maintenance
T04587,P119,V031,IN,2,27-09-2023,08-10-2023,08-10-2023,
T04588,P101,V058,OUT,10,,,16-09-2024,Replacement
T04589,P096,V045,IN,89,16-12-2023,24-12-2023,24-12-2023,
T04590,P070,V019,IN,38,30-12-2023,20-01-2024,20-01-2024,
T04591,P117,V020,IN,14,26-08-2023,23-09-2023,23-09-2023,
T04592,P110,V021,IN,30,19-12-2023,25-12-2023,24-12-2023,
T04593,P061,V025,IN,93,09-01-2024,25-01-2024,03-02-2024,
T04594,P038,V045,OUT,26,,,28-03-2025,Repair
T04595,P112,V043,IN,79,26-04-2024,11-05-2024,09-05-2024,
T04596,P001,V006,IN,42,21-01-2024,26-01-2024,31-01-2024,
T04597,P034,V027,OUT,49,,,14-12-2024,Repair
T04598,P105,V033,OUT,37,,,06-07-2025,Emergency
T04599,P061,V021,IN,32,26-07-2024,17-08-2024,15-08-2024,
T04600,P070,V009,IN,99,18-07-2024,25-07-2024,02-08-2024,
T04601,P013,V052,OUT,9,,,17-10-2024,Repair
T04602,P073,V049,OUT,32,,,31-12-2024,Routine Check
T04603,P047,V022,IN,34,02-01-2024,11-01-2024,09-01-2024,
T04604,P086,V049,IN,77,23-09-2023,12-10-2023,10-10-2023,
T04605,P020,V002,OUT,19,,,11-02-2025,Replacement
T04606,P095,V049,OUT,24,,,23-09-2024,Replacement
T04607,P060,V050,OUT,30,,,08-03-2025,Repair
T04608,P009,V023,IN,57,13-11-2023,21-11-2023,21-11-2023,
T04609,P065,V053,IN,60,15-07-2024,23-07-2024,22-07-2024,
T04610,P083,V035,OUT,48,,,18-09-2024,Repair
T04611,P093,V043,OUT,4,,,14-06-2025,Repair
T04612,P041,V032,IN,40,26-03-2024,07-04-2024,07-04-2024,
T04613,P106,V019,OUT,5,,,17-09-2024,Replacement
T04614,P059,V046,OUT,43,,,31-03-2025,Repair
T04615,P021,V004,OUT,36,,,26-07-2025,Repair
T04616,P099,V017,OUT,48,,,24-10-2024,Emergency
T04617,P115,V010,OUT,29,,,12-07-2025,Repair
T04618,P058,V003,OUT,27,,,15-08-2025,Emergency
T04619,P002,V009,OUT,29,,,19-11-2024,Emergency
T04620,P062,V010,IN,9,18-12-2023,14-01-2024,13-01-2024,
T04621,P071,V047,IN,52,04-01-2024,24-01-2024,24-01-2024,
T04622,P017,V039,OUT,14,,,30-09-2024,Routine Check
T04623,P065,V047,OUT,30,,,22-05-2025,Routine Check
T04624,P115,V027,IN,86,19-11-2023,16-12-2023,15-12-2023,
T04625,P087,V038,OUT,15,,,07-05-2025,Repair
T04626,P043,V045,IN,100,05-09-2023,21-09-2023,20-09-2023,
T04627,P101,V023,IN,4,05-09-2023,01-10-2023,29-09-2023,
T04628,P026,V031,IN,74,28-10-2023,15-11-2023,21-11-2023,
T04629,P033,V028,OUT,50,,,03-07-2025,Maintenance
T04630,P088,V013,OUT,42,,,26-06-2025,Replacement
T04631,P008,V029,OUT,47,,,12-07-2025,Emergency
T04632,P091,V032,OUT,22,,,18-06-2025,Replacement
T04633,P056,V011,OUT,5,,,06-08-2025,Routine Check
T04634,P107,V016,IN,68,11-11-2023,24-11-2023,24-11-2023,
T04635,P111,V014,OUT,26,,,22-11-2024,Repair
T04636,P027,V047,OUT,12,,,27-08-2024,Maintenance
T04637,P083,V012,IN,19,12-03-2024,01-04-2024,01-04-2024,
T04638,P048,V054,OUT,42,,,24-03-2025,Emergency
T04639,P016,V039,OUT,31,,,15-03-2025,Maintenance
T04640,P008,V011,OUT,50,,,12-09-2024,Replacement
T04641,P114,V040,IN,70,01-07-2024,17-07-2024,16-07-2024,
T04642,P071,V037,OUT,15,,,14-10-2024,Maintenance
T04643,P014,V012,OUT,27,,,22-05-2025,Routine Check
T04644,P075,V014,IN,23,06-01-2024,16-01-2024,16-01-2024,
T04645,P102,V037,OUT,35,,,10-09-2024,Maintenance
T04646,P035,V057,IN,24,07-11-2023,03-12-2023,02-12-2023,
T04647,P055,V004,IN,70,23-06-2024,28-06-2024,06-07-2024,
T04648,P114,V057,OUT,49,,,26-04-2025,Maintenance
T04649,P011,V052,IN,52,23-07-2024,03-08-2024,03-08-2024,
T04650,P002,V044,OUT,2,,,16-10-2024,Replacement
T04651,P024,V014,IN,53,09-01-2024,28-01-2024,27-01-2024,
T04652,P029,V037,OUT,7,,,24-02-2025,Emergency
T04653,P036,V037,IN,57,25-03-2024,12-04-2024,21-04-2024,
T04654,P029,V035,IN,73,02-04-2024,08-04-2024,07-04-2024,
T04655,P021,V004,OUT,22,,,09-12-2024,Routine Check
T04656,P090,V007,OUT,39,,,31-10-2024,Repair
T04657,P060,V009,IN,90,29-08-2023,08-09-2023,16-09-2023,
T04658,P111,V035,IN,12,07-04-2024,17-04-2024,19-04-2024,
T04659,P045,V015,OUT,42,,,30-08-2024,Maintenance
T04660,P073,V050,OUT,27,,,20-09-2024,Maintenance
T04661,P056,V054,IN,92,01-01-2024,19-01-2024,17-01-2024,
T04662,P022,V053,OUT,29,,,04-09-2024,Repair
T04663,P027,V023,OUT,38,,,20-12-2024,Emergency
T04664,P096,V040,OUT,40,,,05-01-2025,Routine Check
T04665,P058,V002,OUT,46,,,10-04-2025,Maintenance
T04666,P105,V020,OUT,0,,,24-01-2025,Emergency
T04667,P097,V024,OUT,26,,,01-06-2025,Maintenance
T04668,P070,V003,IN,2,24-04-2024,20-05-2024,22-05-2024,
T04669,P006,V039,IN,22,29-06-2024,09-07-2024,08-07-2024,
T04670,P105,V057,OUT,15,,,10-05-2025,Routine Check
T04671,P034,V018,IN,70,06-10-2023,29-10-2023,08-11-2023,
T04672,P116,V012,IN,21,02-04-2024,18-04-2024,22-04-2024,
T04673,P001,V012,IN,22,08-01-2024,20-01-2024,20-01-2024,
T04674,P048,V052,IN,84,23-05-2024,22-06-2024,22-06-2024,
T04675,P114,V040,IN,94,20-01-2024,01-02-2024,06-02-2024,
T04676,P092,V051,OUT,44,,,10-11-2024,Maintenance
T04677,P052,V055,IN,75,08-07-2024,29-07-2024,27-07-2024,
T04678,P101,V045,OUT,13,,,17-01-2025,Routine Check
T04679,P100,V049,IN,32,06-05-2024,17-05-2024,16-05-2024,
T04680,P118,V026,IN,21,17-11-2023,10-12-2023,10-12-2023,
T04681,P073,V023,IN,96,30-10-2023,27-11-2023,25-11-2023,
T04682,P017,V008,IN,35,13-12-2023,11-01-2024,11-01-2024,
T04683,P100,V029,IN,43,15-12-2023,13-01-2024,12-01-2024,
T04684,P016,V004,IN,19,02-04-2024,14-04-2024,21-04-2024,
T04685,P062,V005,IN,59,05-01-2024,19-01-2024,24-01-2024,
T04686,P117,V005,IN,2,20-10-2023,06-11-2023,05-11-2023,
T04687,P027,V037,IN,58,13-05-2024,28-05-2024,28-05-2024,
T04688,P051,V012,IN,58,21-01-2024,28-01-2024,30-01-2024,
T04689,P030,V024,OUT,46,,,29-04-2025,Emergency
T04690,P110,V028,IN,36,06-09-2023,26-09-2023,24-09-2023,
T04691,P050,V017,OUT,7,,,12-11-2024,Repair
T04692,P080,V057,IN,55,09-08-2024,17-08-2024,21-08-2024,
T04693,P074,V001,IN,76,01-03-2024,11-03-2024,20-03-2024,
T04694,P112,V021,OUT,9,,,06-03-2025,Replacement
T04695,P022,V013,IN,91,17-01-2024,25-01-2024,23-01-2024,
T04696,P043,V056,IN,46,01-06-2024,06-06-2024,05-06-2024,
T04697,P099,V047,IN,18,17-08-2024,25-08-2024,25-08-2024,
T04698,P086,V016,OUT,3,,,22-06-2025,Routine Check
T04699,P118,V032,OUT,38,,,06-07-2025,Emergency
T04700,P060,V017,IN,78,21-04-2024,30-04-2024,28-04-2024,
T04701,P017,V056,OUT,10,,,23-09-2024,Maintenance
T04702,P105,V046,IN,33,09-03-2024,03-04-2024,02-04-2024,
T04703,P024,V038,IN,95,15-10-2023,20-10-2023,18-10-2023,
T04704,P006,V032,OUT,28,,,07-12-2024,Emergency
T04705,P074,V054,OUT,13,,,15-06-2025,Repair
T04706,P022,V049,IN,76,23-06-2024,16-07-2024,23-07-2024,
T04707,P046,V007,OUT,40,,,09-09-2024,Maintenance
T04708,P060,V022,IN,92,23-03-2024,14-04-2024,21-04-2024,
T04709,P114,V004,OUT,33,,,09-10-2024,Replacement
T04710,P068,V048,OUT,34,,,10-05-2025,Repair
T04711,P042,V050,IN,90,24-08-2023,11-09-2023,10-09-2023,
T04712,P101,V026,IN,23,11-05-2024,16-05-2024,21-05-2024,
T04713,P017,V031,OUT,42,,,03-11-2024,Routine Check
T04714,P040,V024,IN,28,07-02-2024,07-03-2024,13-03-2024,
T04715,P101,V006,OUT,37,,,28-12-2024,Emergency
T04716,P021,V036,IN,23,13-03-2024,23-03-2024,24-03-2024,
T04717,P024,V035,IN,46,17-07-2024,14-08-2024,21-08-2024,
T04718,P114,V049,IN,39,06-12-2023,25-12-2023,24-12-2023,
T04719,P098,V038,IN,33,04-12-2023,14-12-2023,14-12-2023,
T04720,P021,V051,IN,32,22-12-2023,04-01-2024,02-01-2024,
T04721,P002,V039,IN,2,11-12-2023,04-01-2024,03-01-2024,
T04722,P107,V011,OUT,44,,,25-07-2025,Emergency
T04723,P053,V009,IN,52,10-07-2024,15-07-2024,14-07-2024,
T04724,P047,V038,IN,56,21-10-2023,01-11-2023,31-10-2023,
T04725,P006,V042,OUT,1,,,14-04-2025,Repair
T04726,P095,V004,IN,98,06-10-2023,13-10-2023,17-10-2023,
T04727,P026,V049,OUT,34,,,20-12-2024,Routine Check
T04728,P021,V009,IN,39,03-02-2024,22-02-2024,20-02-2024,
T04729,P110,V025,IN,1,08-12-2023,04-01-2024,04-01-2024,
T04730,P063,V030,IN,85,17-02-2024,23-02-2024,22-02-2024,
T04731,P119,V008,OUT,44,,,12-12-2024,Emergency
T04732,P056,V031,IN,17,31-07-2024,17-08-2024,15-08-2024,
T04733,P002,V001,OUT,37,,,30-11-2024,Replacement
T04734,P023,V030,IN,26,01-04-2024,14-04-2024,13-04-2024,
T04735,P019,V043,OUT,14,,,14-01-2025,Maintenance
T04736,P114,V056,IN,26,13-03-2024,12-04-2024,13-04-2024,
T04737,P092,V019,OUT,6,,,04-03-2025,Emergency
T04738,P026,V009,OUT,46,,,18-07-2025,Maintenance
T04739,P036,V023,OUT,18,,,05-05-2025,Maintenance
T04740,P023,V030,IN,60,20-09-2023,10-10-2023,09-10-2023,
T04741,P054,V031,OUT,48,,,06-01-2025,Maintenance
T04742,P089,V055,OUT,13,,,02-05-2025,Replacement
T04743,P080,V012,OUT,3,,,27-07-2025,Replacement
T04744,P009,V052,OUT,30,,,05-10-2024,Replacement
T04745,P066,V007,OUT,35,,,17-11-2024,Emergency
T04746,P107,V006,IN,64,08-01-2024,01-02-2024,05-02-2024,
T04747,P090,V020,IN,24,25-09-2023,01-10-2023,06-10-2023,
T04748,P040,V029,IN,35,10-06-2024,09-07-2024,08-07-2024,
T04749,P035,V015,IN,45,28-10-2023,15-11-2023,19-11-2023,
T04750,P033,V037,OUT,29,,,15-06-2025,Routine Check
T04751,P046,V011,IN,38,04-06-2024,03-07-2024,07-07-2024,
T04752,P098,V054,OUT,9,,,08-05-2025,Emergency
T04753,P089,V018,IN,60,20-01-2024,30-01-2024,29-01-2024,
T04754,P084,V005,OUT,1,,,26-03-2025,Maintenance
T04755,P065,V015,OUT,22,,,03-11-2024,Replacement
T04756,P035,V048,OUT,11,,,15-04-2025,Maintenance
T04757,P036,V047,OUT,15,,,11-07-2025,Replacement
T04758,P103,V054,IN,5,18-03-2024,10-04-2024,09-04-2024,
T04759,P087,V017,IN,55,03-03-2024,09-03-2024,07-03-2024,
T04760,P013,V048,OUT,19,,,26-07-2025,Repair
T04761,P117,V033,OUT,33,,,26-07-2025,Replacement
T04762,P059,V014,OUT,3,,,05-12-2024,Emergency
T04763,P070,V006,OUT,48,,,25-06-2025,Emergency
T04764,P054,V057,OUT,16,,,23-12-2024,Emergency
T04765,P087,V009,OUT,25,,,25-03-2025,Repair
T04766,P119,V036,OUT,4,,,30-10-2024,Replacement
T04767,P089,V057,OUT,6,,,13-12-2024,Routine Check
T04768,P067,V053,OUT,48,,,19-06-2025,Routine Check
T04769,P020,V004,IN,58,30-01-2024,19-02-2024,22-02-2024,
T04770,P100,V001,IN,67,12-06-2024,26-06-2024,24-06-2024,
T04771,P108,V042,OUT,36,,,03-05-2025,Emergency
T04772,P031,V019,IN,47,23-05-2024,10-06-2024,17-06-2024,
T04773,P116,V022,IN,5,02-12-2023,14-12-2023,22-12-2023,
T04774,P055,V059,OUT,38,,,28-01-2025,Routine Check
T04775,P004,V014,IN,51,29-02-2024,20-03-2024,24-03-2024,
T04776,P052,V053,IN,61,12-10-2023,08-11-2023,08-11-2023,
T04777,P095,V012,IN,24,13-04-2024,01-05-2024,30-04-2024,
T04778,P011,V050,OUT,39,,,07-09-2024,Maintenance
T04779,P083,V033,OUT,32,,,05-03-2025,Emergency
T04780,P065,V014,OUT,49,,,16-03-2025,Replacement
T04781,P061,V025,IN,97,22-01-2024,02-02-2024,02-02-2024,
T04782,P105,V044,OUT,11,,,24-08-2024,Routine Check
T04783,P004,V026,OUT,47,,,20-02-2025,Replacement
T04784,P003,V055,OUT,43,,,01-10-2024,Replacement
T04785,P107,V009,IN,16,04-07-2024,31-07-2024,30-07-2024,
T04786,P090,V049,OUT,49,,,18-12-2024,Maintenance
T04787,P093,V044,OUT,28,,,16-09-2024,Maintenance
T04788,P027,V026,OUT,12,,,24-01-2025,Maintenance
T04789,P098,V026,IN,21,22-08-2023,14-09-2023,15-09-2023,
T04790,P104,V013,OUT,37,,,30-03-2025,Routine Check
T04791,P108,V050,IN,66,13-01-2024,06-02-2024,04-02-2024,
T04792,P016,V032,IN,72,19-04-2024,28-04-2024,27-04-2024,
T04793,P103,V050,IN,30,20-11-2023,09-12-2023,07-12-2023,
T04794,P055,V035,IN,40,13-07-2024,06-08-2024,05-08-2024,
T04795,P004,V011,OUT,13,,,07-12-2024,Routine Check
T04796,P012,V057,IN,87,20-01-2024,18-02-2024,17-02-2024,
T04797,P082,V044,OUT,38,,,27-04-2025,Maintenance
T04798,P046,V019,IN,100,09-02-2024,03-03-2024,10-03-2024,
T04799,P049,V002,OUT,38,,,17-07-2025,Repair
T04800,P044,V040,IN,69,03-10-2023,22-10-2023,21-10-2023,
T04801,P068,V039,OUT,10,,,05-02-2025,Replacement
T04802,P117,V036,IN,66,11-08-2024,08-09-2024,12-09-2024,
T04803,P019,V045,IN,89,30-09-2023,26-10-2023,26-10-2023,
T04804,P069,V047,OUT,7,,,10-10-2024,Emergency
T04805,P111,V033,OUT,0,,,12-11-2024,Emergency
T04806,P035,V042,OUT,42,,,05-05-2025,Repair
T04807,P114,V022,IN,83,30-09-2023,21-10-2023,21-10-2023,
T04808,P084,V025,IN,33,16-10-2023,14-11-2023,12-11-2023,
T04809,P109,V058,IN,84,28-01-2024,18-02-2024,18-02-2024,
T04810,P100,V029,IN,6,27-02-2024,06-03-2024,04-03-2024,
T04811,P081,V027,IN,39,19-06-2024,25-06-2024,25-06-2024,
T04812,P066,V002,IN,81,26-02-2024,19-03-2024,17-03-2024,
T04813,P021,V030,IN,52,19-03-2024,28-03-2024,26-03-2024,
T04814,P023,V036,OUT,42,,,18-11-2024,Replacement
T04815,P068,V054,OUT,21,,,06-06-2025,Maintenance
T04816,P019,V030,IN,67,02-04-2024,23-04-2024,22-04-2024,
T04817,P083,V042,IN,60,31-05-2024,25-06-2024,25-06-2024,
T04818,P001,V035,OUT,27,,,26-12-2024,Routine Check
T04819,P077,V047,IN,50,11-04-2024,19-04-2024,18-04-2024,
T04820,P017,V026,OUT,1,,,25-11-2024,Routine Check
